Comment,Designator,Footprint,LCSC Part Number
22pF,"C1, C2, C3, C4, C5, C6",LED_SMD:LED_0805_2012Metric,C1804
LED,IData1,LED_SMD:LED_0805_2012Metric,C2297
LED,ISafe1,LED_SMD:LED_0805_2012Metric,C2296
LED,MData1,LED_SMD:LED_0805_2012Metric,C2297
LED,"MPC1, MPC2, MPC3, MPC4",LED_SMD:LED_0805_2012Metric,C84256
LED,MSafe1,LED_SMD:LED_0805_2012Metric,C2296
330R,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12",Resistor_SMD:R_0402_1005Metric,C25104
10K,"RR1, RR2, RR3",Resistor_SMD:R_0402_1005Metric,C25744
10K,DR1,Resistor_SMD:R_0402_1005Metric,C25744
LED,SData1,LED_SMD:LED_0805_2012Metric,C2297
LED,SSafe1,LED_SMD:LED_0805_2012Metric,C2296
